Category: Entertainment Industry

Region,Gay Porn: (2011),MILF: (2011),Teen Porn: (2011),Hentai: (2011)
Wyoming,50%,,50%,
South Dakota,,50%,50%,
North Dakota,,,,100%
Vermont,,,100%,
Montana,,100%,,
Alaska,,,,100%
Delaware,50%,,50%,
Rhode Island,40%,,60%,
Arkansas,25%,25%,50%,
New Mexico,43%,28%,29%,
New Hampshire,,60%,40%,
West Virginia,,,,100%
Maine,,50%,50%,
Utah,37%,18%,27%,18%
Hawaii,,,50%,50%
Minnesota,10%,10%,28%,52%
Louisiana,17%,17%,36%,30%
Indiana,,,50%,50%
Tennessee,40%,13%,34%,13%
Wisconsin,15%,15%,47%,23%
Oklahoma,27%,,37%,36%
Connecticut,20%,20%,40%,20%
Oregon,18%,19%,44%,19%
Alabama,28%,29%,43%,
Kentucky,43%,,29%,28%
Arizona,13%,39%,35%,13%
Ohio,18%,10%,51%,21%
Nevada,33%,34%,,33%
Kansas,50%,,50%,
Pennsylvania,21%,17%,36%,26%
Iowa,,50%,50%,
Missouri,24%,31%,21%,24%
North Carolina,11%,11%,43%,35%
Washington,,22%,44%,34%
Virginia,25%,15%,45%,15%
Maryland,14%,29%,29%,28%
California,22%,10%,42%,26%
Illinois,19%,10%,52%,19%
Colorado,34%,16%,25%,25%
South Carolina,50%,,,50%
Michigan,,28%,36%,36%
Massachusetts,16%,15%,43%,26%
Florida,18%,24%,36%,22%
New Jersey,21%,21%,29%,29%
Texas,23%,16%,33%,28%
District of Columbia,33%,,34%,33%
Georgia,11%,28%,31%,30%
New York,29%,10%,40%,21%
Idaho,,,,
Mississippi,,,,
Nebraska,,,,
